,name,type,EFA,thc_input,cbd_input
0,100 OG,Hybrid,"Focused, Citrus, Depression",127.0,16.0
1,A-10,Indica,"Relaxed, Happy, Uplifted, Energetic, Sleepy, Dry Mouth, Paranoid, Citrus, Sweet, Stress, Insomnia, Pain, Muscle Spasms, Depression",858.4444444444445,13.0
2,Acapulco Gold,Sativa,"Happy, Euphoric, Uplifted, Relaxed, Creative, Dry Mouth, Paranoid, Anxious, Earthy, Citrus, Depression, Stress, Pain, Lack of Appetite",924.3125,30.0
3,Afghani Bullrider,Hybrid,"Uplifted, Relaxed, Happy, Euphoric, Dry Mouth, Paranoid, Sweet, Pine, Earthy, Stress, Depression, Insomnia, Pain",127.0,16.0
4,Afghan Big Bud,Indica,"Euphoric, Happy, Talkative, Relaxed, Sleepy, Dry Mouth, Paranoid, Lemon, Lavender, Stress, Pain, Nausea, Insomnia, Depression",858.4444444444445,13.0
5,Afghani,Indica,"Relaxed, Sleepy, Euphoric, Happy, Uplifted, Dry Mouth, Paranoid, Earthy, Sweet, Pine, Stress, Insomnia, Pain, Lack of Appetite, Depression",858.4444444444445,13.0
6,Afghooey,Indica,"Uplifted, Sleepy, Euphoric, Relaxed, Talkative, Dry Mouth, Paranoid, Earthy, Sweet, Pain, Stress, Insomnia, Depression, Muscle Spasms",127.0,13.0
7,Afgoo,Indica,"Relaxed, Sleepy, Happy, Euphoric, Hungry, Dry Mouth, Paranoid, Anxious, Pine, Earthy, Citrus, Stress, Pain, Insomnia, Lack of Appetite, Muscle Spasms",127.0,13.0
8,Afgooey,Indica,"Relaxed, Happy, Sleepy, Euphoric, Dry Mouth, Paranoid, Anxious, Earthy, Pine, Pain, Insomnia, Lack of Appetite, Stress, Muscle Spasms",858.4444444444445,13.0
9,Alaskan Thunder Fuck,Sativa,"Happy, Euphoric, Uplifted, Energetic, Relaxed, Dry Mouth, Paranoid, Anxious, Earthy, Pine, Stress, Depression, Lack of Appetite, Pain",1500.0,30.0
